hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y_Mcr_u_eq
800,320,8.42,200,8.42,400,12.84,0.75,1600,3160.888149
900,900,6.67,450,6.67,225,12.2,1,32400,115.1996949
400,1000,9.52,250,12.63,500,38.16,1,36000,571.7906358
225,900,5.45,225,13.86,225,16.34,0.75,1800,4595.977357
300,200,12,150,12,75,12,1,7200,75.88978538
1000,1000,22.22,1000,50.53,250,22.22,0,12000,94548.90452
285.71,1000,6.06,500,19.74,500,12.37,1,30000,484.3368232
800,200,8.42,800,34.53,600,43.58,-1,12800,29922.37857
700,175,3.41,525,30.39,700,9.58,0,15400,4735.501025
800,320,22.86,800,22.86,400,22.86,0.5,6400,32039.52143
1000,1000,3.39,750,51.71,750,26.84,-1,22000,21270.26452
114.29,400,3.48,400,32,400,9.89,0.5,7200,3532.355061
400,114.29,2.42,100,2.42,100,3.58,0.25,16000,1.900820126
300,300,1.09,300,11.84,150,10.89,-0.25,7200,753.0257993
1000,250,9.52,250,9.52,250,9.52,0,18000,178.8166726
600,300,7.06,300,21.79,150,12,-1,1200,7677.680249
300,200,2.61,150,5.92,75,2.61,0.5,7800,22.77430325
350,700,5.6,350,20.26,700,12.16,1,8400,1557.837833
400,114.29,2.58,400,5.47,400,6.95,0,5600,1094.09059
900,450,7.2,225,8.88,675,24.16,0.25,21600,572.8859637
300,600,2.18,600,14.84,450,9.47,0.75,18000,945.7580506
800,200,2.81,400,18.74,600,17.05,-0.75,24000,1330.392277
300,600,4.8,600,41.37,150,4.8,0.75,21600,2925.102028
900,900,36,900,38.84,900,45.47,0.75,10800,50962.22021
200,700,8.24,525,9.12,175,10.78,-0.75,14000,373.9105212
700,700,3.78,175,9.49,350,25.42,0,8400,566.1563525
800,800,3.4,400,21.68,200,13.79,-1,6400,2038.912115
400,133.33,1.63,100,2.47,100,7.26,-1,5600,25.30205431
400,160,1.95,100,5.79,300,19.58,1,4800,227.0836428
75,300,1.4,300,16.26,150,7.03,-0.5,9600,446.2591727
700,466.67,4.52,350,13.82,525,18.79,0,25200,498.1957057
700,200,2.37,175,2.39,350,25.42,0.75,4200,547.877926
1000,666.67,28.57,500,28.57,1000,57.89,-0.5,34000,11110.56555
1000,285.71,3.39,1000,21.05,250,19.08,0.25,34000,3516.31551
125,500,2.33,125,4.01,250,2.5,-1,14000,12.01345896
285.71,1000,3.51,750,13.03,750,7.5,-1,18000,3791.627976
533.33,800,4.57,600,10.42,800,34.53,-0.75,17600,6184.987809
100,400,2.58,300,10.74,300,4.11,1,9600,169.2645906
400,600,10.91,450,29.37,150,10.91,-0.25,16800,2343.455692
900,257.14,4.19,675,21.67,675,29.13,0.25,36000,2109.045903
1000,500,10.53,750,15.79,1000,24.74,0.25,30000,2833.038857
800,800,3.14,800,16.84,400,11.37,0.5,20800,3601.93357
360,900,4.19,675,19.18,900,28.89,1,36000,1545.924932
600,240,3.24,150,8.68,150,12,1,18000,21.10101317
800,320,5.16,400,5.47,600,30.32,-1,9600,3763.804448
800,400,10.67,200,10.67,600,17.05,0.5,17600,295.193011
1000,400,3.92,1000,35.79,1000,35.79,-0.25,32000,17363.3323
133.33,400,1.63,100,6.53,100,1.63,-0.5,12000,8.30622543
200,300,1.02,75,5.72,75,1.02,-0.5,4200,14.62782846
700,350,3.26,350,11.24,175,9.49,0.25,28000,133.7996245
900,300,3.83,900,35.53,675,46.54,0.25,19800,17367.58359
300,100,1.22,225,17.17,300,9.63,0,11400,309.0864445
400,114.29,11.43,300,17.37,400,26.11,-0.75,2400,16286.2548
300,75,5.45,150,5.45,150,5.45,0.75,12000,13.12996955
285.71,1000,13.33,250,13.33,250,13.33,0.5,4000,1830.970231
600,900,5.14,450,16.11,450,29.37,-0.25,32400,1030.064823
800,266.67,3.9,200,9.37,600,45.79,-1,4800,7192.323266
1000,1000,22.22,750,32.37,500,32.63,-0.75,22000,12533.33436
200,700,2.64,350,25.42,350,21.55,1,16800,668.8627165
700,700,7.37,350,16.39,525,11.05,-0.25,4200,11198.34718
800,200,4.32,200,16,800,22.74,1,6400,1497.403709
400,266.67,2.05,100,4.32,100,6.89,-0.75,8800,18.40984846
125,500,2.7,375,24.47,250,8.03,0.5,5000,3394.563527
225,900,4.19,450,19.42,225,4.19,0,36000,344.3240261
133.33,400,1.78,300,6.32,300,3,0.75,8800,116.7425823
171.43,600,7.06,600,17.05,300,18.47,-1,15600,1423.024135
228.57,800,2.91,200,10.11,400,11.37,0.75,4800,453.1136019
300,100,1.09,300,4.11,300,8.53,0.5,9600,95.69401567
800,400,4.85,800,19.79,800,19.79,0.75,30400,1912.013926
400,114.29,4.21,300,24,400,12.84,0.5,4000,3531.491942
900,900,3.16,900,35.53,225,16.34,-0.25,12600,27100.27211
500,125,1.96,125,7.7,125,4.93,-0.25,2000,527.3320915
900,450,16.36,450,16.36,900,18.95,1,25200,902.4913881
900,257.14,9.47,450,34.34,675,19.18,-0.75,27000,3494.142752
800,320,4.57,200,6.42,600,28.11,1,16000,627.1548752
160,400,1.36,100,1.37,100,4.32,0.75,3200,8.790456348
100,400,1.36,100,3.21,100,3.58,-0.25,6400,7.933795329
450,900,10.59,225,16.34,225,10.59,0,27000,127.9642951
120,300,1.46,150,6.47,300,15.16,-0.5,10800,252.4863557
200,300,12,150,12,300,18.47,0,6600,481.0586795
175,700,12.73,350,13.82,350,22.84,0,8400,1685.187634
250,500,1.82,500,14.21,250,14.47,0.75,6000,3258.51918
400,100,1.51,300,9.63,300,15.16,1,7200,359.8434776
257.14,900,36,450,36,675,36,-0.75,9000,22320.69233
285.71,1000,4.88,500,17.89,750,46.18,-0.5,40000,4546.692839
1000,400,10.53,250,10.53,750,46.18,0.75,34000,1949.240457
300,100,3.53,300,12.95,150,5.92,0.5,10800,211.2849699
200,700,6.09,525,16.86,525,9.12,0,7000,5893.12421
600,300,5.22,450,19.42,150,10.34,0.5,9600,2075.321856
600,300,2.03,450,24.39,150,2.03,1,18000,719.9082821
600,240,4.44,600,32.53,150,4.44,-0.25,12000,10093.68581
300,900,8.57,675,31.62,675,26.64,0,12600,13019.82502
600,150,3.64,450,34.34,150,12,0.25,18000,2038.307295
800,320,14.55,400,26.11,200,14.55,0,6400,8230.428743
500,125,2.86,250,11.71,125,4.93,-1,11000,128.481236
400,114.29,6.15,200,13.79,200,13.79,0,14400,152.43949
300,85.71,3.53,75,3.53,150,8.13,1,10200,8.365356569
300,600,4.8,600,12.63,300,9.63,-0.75,18000,860.3177266
125,500,20,125,20,375,20,0,2000,3117.217708
400,114.29,3.48,300,14.05,100,3.58,0,4800,1462.466749
150,300,1.09,300,21.79,300,16.26,-0.5,4800,3320.614468
700,200,12.73,175,12.73,350,24.13,0.75,15400,306.4978955
1000,666.67,28.57,1000,61.58,1000,28.57,0.5,40000,14735.39707
300,600,2.79,150,10.34,150,3.16,0.75,16800,18.85771904
360,900,10.59,450,32.68,225,10.59,-1,10800,2013.773189
600,171.43,2.67,150,9.24,600,41.37,0.5,15600,2208.563735
500,1000,13.33,250,17.24,500,19.74,-0.5,18000,807.7337692
75,300,4,75,4,300,8.53,-0.25,8400,95.17810514
500,1000,18.18,500,27.11,500,25.26,0.5,24000,1774.737687
700,200,2.86,350,15.11,525,32.33,-0.25,14000,2322.959406
400,600,5.71,300,16.26,150,5.71,0.75,15600,231.0048144
125,500,9.09,375,27.24,250,9.09,0,14000,1195.724449
300,120,8.57,150,8.57,150,9.24,0,8400,79.3870984
500,142.86,3.7,250,20,125,9.54,-0.75,20000,322.6438632
1000,1000,3.92,250,17.24,500,38.16,0.5,32000,725.4393161
600,171.43,6.32,450,16.11,300,8.53,0.75,22800,332.4229667
1000,285.71,22.22,500,22.22,1000,22.22,0,30000,2490.006709
100,300,1.54,225,6.39,75,2.68,-0.75,5400,39.00262468
600,300,2.45,300,9.63,600,43.58,0.5,7200,4239.05004
333.33,1000,3.51,250,13.55,250,18.16,0.25,22000,168.3967187
200,400,4.71,100,7.63,100,4.71,0.25,15200,7.859370151
700,233.33,2.37,350,21.55,525,5.25,-0.5,22400,838.6533803
400,600,5.22,150,5.22,450,22.74,0.5,18000,325.2091419
600,400,1.97,450,17.76,150,8.13,-0.75,19200,480.6663399
350,700,3.26,175,6.91,350,8.66,0.5,28000,26.24451948
800,228.57,5.52,200,10.84,200,12.32,0,27200,60.84401744
280,700,4.83,525,16.86,350,7.37,-0.75,7000,4418.171564
400,400,1.95,200,11.58,200,5.68,1,15200,45.67978077
400,200,1.7,100,7.63,200,7.16,0.25,8800,23.83802622
700,350,20,175,20,350,20,-0.5,8400,1226.818369
500,500,4,250,8.03,500,8.68,0.75,7000,319.5383141
500,250,20,375,20.33,375,20,0.5,16000,906.1127454
266.67,800,12.31,600,30.32,200,15.26,-0.5,1600,59438.3526
500,250,7.69,500,19.74,500,30.79,-0.5,15000,4434.292083
900,257.14,2.95,225,5.57,450,19.42,-0.5,9000,637.1604313
900,900,7.2,900,42.16,900,28.89,0,9000,113293.5466
800,228.57,14.55,400,14.55,600,48,0,14400,5113.68754
320,800,3.9,400,18.74,200,4.21,0.75,9600,1326.59921
1000,500,5.71,750,13.03,750,24.08,0.75,40000,1044.721255
200,600,2.93,150,9.24,450,22.74,0.75,13200,383.132431
400,400,2.96,200,9.37,200,7.89,0.75,4000,392.386419
333.33,1000,4.26,1000,43.16,500,17.89,-1,18000,10366.4435
700,466.67,10.77,700,10.77,175,10.77,0.75,25200,666.1507191
225,900,13.85,900,45.47,450,13.85,0.5,27000,7643.099349
400,600,3.08,300,19.58,450,21.08,0.5,15600,643.6550086
75,300,0.98,150,12,75,4.07,-0.75,9600,55.75796095
250,1000,15.38,250,15.38,250,15.38,1,28000,115.9343978
400,800,5.52,800,46.32,800,8,-0.75,32000,9165.566747
800,800,32,800,32,600,32,0.75,22400,7292.143107
300,200,3.16,75,3.16,300,17.37,1,11400,115.3430769
400,114.29,3.2,300,4.11,400,5.47,0.75,4000,429.0650824
300,100,6.67,150,6.67,225,14.68,0.75,11400,72.05753885
500,125,7.69,125,7.69,500,25.26,-0.75,11000,936.1273553
700,200,15.56,700,40.53,700,27.63,-0.5,28000,9737.405766
900,900,3.16,675,46.54,450,11.13,-0.25,32400,7313.95009
200,500,2.44,250,8.95,500,32.63,0,15000,1713.93894
400,100,1.7,200,10.11,400,5.47,-0.5,10400,182.1838399
125,500,1.69,250,17.24,250,13.55,-0.75,18000,322.2189886
600,600,7.06,450,22.74,150,7.06,0.25,15600,1533.499174
142.86,500,3.03,125,5.86,250,3.03,0.5,9000,15.82189415
600,900,2.95,450,26.05,675,31.62,-0.25,32400,2160.96953
150,300,2.07,150,5.92,225,13.03,-0.75,4800,265.2122456
320,800,7.62,200,10.11,800,46.32,0.25,22400,4791.866813
200,500,3.23,500,21.58,375,13.42,-1,10000,2866.464677
900,257.14,12,900,48.79,900,22.26,-0.25,28800,19762.99839
1000,1000,4.44,750,40.66,500,5,-1,32000,3237.955087
300,85.71,1.62,75,2.13,150,5.37,-0.5,10800,5.442019316
400,200,3.48,400,5.47,400,5.47,1,9600,210.0332015
166.67,500,1.69,125,10,250,2.5,-0.5,9000,54.93578886
700,466.67,9.33,525,20.72,350,22.84,-0.75,22400,2380.292727
300,200,1.4,300,4.11,300,12.95,-1,5400,850.3173367
200,300,2.86,225,4.74,150,11.45,0.5,9000,64.7525495
166.67,500,2.13,500,17.89,375,24.47,0.5,8000,3069.03924
600,171.43,2.18,150,9.79,150,11.45,-0.5,8400,159.8556029
600,171.43,2.67,450,7.82,600,34.74,0.25,21600,1628.06267
171.43,600,3.24,450,6.16,450,26.05,1,18000,511.1838529
200,700,4.83,525,28.46,175,6.26,0.5,22400,1212.724996
900,300,36,675,36,900,72,0.5,5400,95507.75781
266.67,400,8.89,400,8.89,300,11.84,0,11200,572.2326894
150,300,12,225,18,75,12,1,6600,299.8168993
400,160,4.21,400,27.58,200,7.89,0.75,4800,4475.837678
171.43,600,2.03,150,12,600,36.95,1,12000,1667.539511
1000,1000,6.9,250,6.9,500,12.37,-0.25,36000,106.2973527
160,400,1.45,200,16,400,18.74,1,5600,603.291826
171.43,600,2.35,600,39.16,450,14.45,-0.25,15600,6827.039724
133.33,400,2.76,200,2.76,100,5.05,0.25,4800,58.4337136
300,300,1.22,225,3.08,75,6,0.5,9000,31.28837938
900,900,4.19,675,54,225,4.19,-1,23400,4924.566299
600,400,4.8,150,4.8,450,24.39,-0.75,7200,824.0675545
533.33,800,7.62,200,7.89,200,7.62,0.75,30400,23.08204261
120,300,4.62,225,15.51,75,4.62,-0.25,10200,213.4943252
1000,1000,22.22,250,22.22,250,22.22,0.75,16000,599.7930675
166.67,500,3.03,125,4.01,250,18.16,-1,18000,181.5553818
200,300,1.33,150,7.03,150,12,-1,7800,116.7365808
800,800,5.93,200,7.89,400,21.68,-0.5,24000,280.0915549
85.71,300,1.54,225,2.25,150,2.61,-0.25,10200,13.49046169
600,150,2.03,300,22.89,150,12,-0.75,24000,521.4886432
400,600,6.32,150,6.47,450,14.45,0.75,22800,92.47105543
300,85.71,1.62,75,3.79,75,6,-0.25,10800,4.098342544
300,600,2.03,450,7.82,600,41.37,-0.75,18000,4649.701816
600,600,13.33,600,32.53,600,13.33,1,8400,11120.01748
666.67,1000,15.38,250,19.08,500,30.79,0.75,28000,578.5282549
133.33,400,2.96,400,30.53,100,5.05,0.25,7200,3004.580035
266.67,400,1.4,200,6.42,100,5.79,0,16000,28.35880182
1000,250,4.88,500,21.58,1000,61.58,0.5,40000,6575.151671
350,700,2.75,525,40.07,350,20.26,1,4200,29544.52726
900,900,5.81,225,5.81,675,34.11,0.25,27000,1040.306178
900,450,3.67,900,38.84,450,36,0.25,28800,9613.583112
100,400,2.96,100,2.96,200,4.21,0,4000,23.45061061
333.33,500,20,500,21.58,250,20,-0.25,18000,2001.050784
900,600,6.21,900,42.16,900,58.74,0,12600,66387.34586
700,280,6.67,525,18.79,700,56,1,11200,7913.579813
533.33,800,6.96,600,39.16,600,32.53,0.5,14400,8826.980859
800,320,5.52,600,36.95,600,34.74,0.5,11200,11986.08406
700,700,7.37,700,9.58,350,12.53,0,21000,1681.826973
333.33,500,1.82,375,16.18,500,8.68,1,3000,7120.737201
250,500,2.86,500,25.26,500,10.53,-0.25,6000,11824.50565
300,85.71,6.67,75,6.67,225,8.05,1,6000,30.22444008
200,500,2.04,500,6.84,375,30,0.75,19000,627.264061
240,600,4.14,150,8.13,300,5.21,-0.5,16800,39.47068816
400,266.67,4.71,100,6.53,200,9.37,0.5,12000,22.46671055
800,533.33,6.4,200,6.4,600,21.47,-0.5,16000,545.2489231
200,700,4,175,4,350,25.42,0.75,16800,267.956139
266.67,400,1.45,400,17.26,400,30.53,-0.5,8000,4539.795514
1000,285.71,7.41,1000,39.47,750,54.47,0.25,16000,38927.79883
400,400,4.71,300,15.16,100,8,0,5600,1583.928379
500,500,1.89,500,27.11,500,19.74,-1,20000,3132.225856
400,1000,40,1000,80,250,40,1,6000,213215.5002
257.14,900,3.05,450,26.05,450,27.71,0,34200,1101.182663
700,280,3.26,175,8.2,700,7,-0.75,25200,69.71263944
600,150,5.22,150,9.24,450,32.68,0,14400,997.0510116
900,300,7.2,900,52.11,450,32.68,0,18000,34055.93807
333.33,500,11.11,375,24.47,500,11.11,0.75,15000,863.8987199
900,900,10.59,675,31.62,900,18.95,0.5,14400,11199.88805
240,600,3.43,600,36.95,150,4.26,1,18000,2630.40868
900,600,16.36,225,16.36,900,28.89,1,14400,1382.310005
466.67,700,3.59,350,3.59,175,3.59,0.5,22400,42.0437348
400,800,4.85,400,21.68,800,49.26,-0.25,20800,7791.193307
400,200,4.21,400,24.63,200,8.63,0.75,10400,1245.733294
400,114.29,6.15,200,12.32,400,27.58,-0.5,10400,1176.810235
300,300,5.45,225,16.34,225,6.39,1,9600,171.3298453
1000,333.33,3.51,250,11.71,500,6.84,-1,8000,1509.309399
400,100,1.57,400,18.74,300,15.16,1,4000,3087.528607
700,700,7.37,525,30.39,525,16.86,-0.75,23800,3800.231198
320,800,3.56,600,12.63,800,13.89,-0.5,9600,8050.832469
1000,1000,4.08,1000,46.84,1000,21.05,-1,32000,19639.0943
700,350,2.64,350,6.08,175,4.97,0.5,15400,136.0619152
600,171.43,13.33,300,13.33,150,13.33,-0.5,16800,484.6039917
350,700,8.24,525,40.07,175,8.24,1,7000,10432.82711
300,600,2.11,600,19.26,300,22.89,-1,24000,1182.962897
400,266.67,4.21,300,21.79,100,6.53,-0.5,8800,1226.963319
600,900,5.45,900,65.37,225,16.34,0.75,36000,10184.73375
900,300,6.67,900,52.11,675,36.59,1,16200,19917.62014
120,300,1.02,75,4.62,75,2.13,1,6000,2.826208016
500,333.33,4.76,250,8.03,250,7.11,-0.25,16000,121.7599223
1000,333.33,7.41,250,13.55,1000,80,-0.25,18000,21617.53084
1000,666.67,3.92,1000,57.89,1000,10,0.5,16000,51090.84403
466.67,700,3.59,175,8.84,175,10.13,0.5,4200,373.7250464
280,700,20,175,20,525,42,0.25,11200,3268.082072
250,500,5.88,250,10.79,250,5.88,-0.75,11000,275.1639653
600,600,3.43,150,7.03,450,11.13,-0.25,1200,4259.805201
700,175,6.09,350,6.09,525,20.72,-0.25,28000,424.1200664
900,600,20,900,65.37,450,24.39,-0.5,25200,39316.31737
900,900,3.27,900,45.47,225,4.74,0,18000,28010.12625
1000,285.71,9.52,250,17.24,500,21.58,0,26000,459.2230102
900,900,3.83,450,29.37,450,17.76,-0.75,14400,6216.875905
266.67,400,1.57,400,9.89,200,4.95,0.25,15200,256.8428659
700,175,3.59,525,16.86,175,10.78,1,16800,673.5337215
600,150,2.11,150,9.24,300,24,-0.75,12000,403.9346151
500,250,4.76,250,14.47,125,8.16,-0.5,11000,410.115163
350,700,2.75,175,12.07,700,14.74,0.75,18200,219.712767
300,200,2.61,75,2.61,75,4.34,0.25,7800,2.889513456
533.33,800,8.42,800,10.95,200,8.63,0.75,32000,653.4482864
175,700,4.24,175,14,700,53.42,0.75,14000,5427.748215
1000,250,15.38,250,15.38,250,15.38,-0.25,8000,1497.624998
466.67,700,6.09,525,34.26,700,19.89,-0.25,14000,8083.93831
400,600,2.18,600,41.37,600,34.74,-1,21600,9990.811647
1000,666.67,3.64,500,14.21,750,57.24,0.25,36000,3982.22308
300,85.71,1.05,150,3.71,75,1.05,0.25,4200,36.0468172
360,900,3.83,675,34.11,225,8.88,0.25,32400,2424.14277
300,600,1.97,150,8.68,450,9.47,0.25,10800,92.99481613
800,800,22.86,200,22.86,800,22.86,0.5,32000,824.73037
300,150,3.53,225,3.53,75,3.53,0.25,10800,24.62749371
500,142.86,6.67,125,6.78,125,6.67,-0.25,2000,511.2429744
114.29,400,1.57,300,12.95,300,4.11,-0.5,12800,298.6977962
800,533.33,3.27,600,43.58,800,10.95,0.5,20800,5567.01268
700,280,10.77,175,10.77,175,10.78,-0.25,2800,1707.429364
125,500,11.11,250,16.32,250,11.11,-1,4000,2160.057176
500,200,3.03,375,21.71,500,8.68,0.5,8000,2016.664781
600,240,2.35,450,31.03,450,32.68,1,13200,2518.882936
1000,400,3.28,500,10.53,1000,24.74,-0.25,32000,1507.385171
300,75,2.07,300,6.32,300,10.74,0.25,7200,292.8593624
400,266.67,2.76,100,2.76,400,15.79,0.25,11200,166.4112355
500,1000,15.38,500,23.42,500,16.05,1,16000,1850.017616
500,125,6.67,375,6.67,375,17.57,0,19000,351.6245613
1000,1000,3.28,750,15.79,250,18.16,0.75,36000,1119.973123
900,257.14,5.45,450,6.16,675,16.7,1,21600,344.5496641
800,400,3.56,400,6.95,600,25.89,-0.5,25600,950.0653642
900,900,6.67,675,9.24,450,34.34,-0.75,21600,4099.276361
250,500,3.7,125,7.24,125,3.7,0,11000,19.537098
500,500,1.75,125,2.63,125,2.17,-0.25,2000,239.0531468
900,300,13.85,900,62.05,225,13.85,-0.25,32400,20932.03518
300,150,3.16,225,9.71,150,11.45,0.5,10200,102.7319099
500,500,1.69,375,20.33,375,28.62,0.25,12000,1791.75281
300,300,2.22,150,10.89,75,5.45,-1,7800,46.24328693
285.71,1000,10.53,500,10.53,1000,28.42,-0.25,30000,3412.331686
400,114.29,11.43,300,19.58,400,11.43,0.25,1600,16239.2482
100,400,3.81,200,13.05,400,23.16,-0.5,8800,1553.980524
500,200,7.69,125,7.69,250,13.55,0,19000,62.95409173
900,600,13.85,450,31.03,900,52.11,-0.75,5400,66185.89329
800,533.33,3.72,400,29.05,600,41.37,0.25,25600,2492.309141
300,600,2.03,300,8.53,450,19.42,0.75,4800,1256.359635
466.67,700,3.59,175,4.33,700,19.89,1,9800,386.4647721
250,1000,7.41,500,30.79,500,7.41,0,40000,977.5701241
600,600,3.43,450,27.71,300,20.68,-1,13200,2499.866759
600,400,1.97,300,7.42,150,11.45,1,18000,70.74221478
800,800,17.78,400,17.78,400,17.78,0.5,22400,745.7032571
200,500,2.22,125,6.32,125,5.86,0.25,10000,17.04425407
300,200,1.46,300,4.11,75,2.13,-0.75,1200,236.2916046
150,600,3.64,300,6.32,450,21.08,-1,12000,1322.794283
500,500,5.26,250,19.08,125,7.7,1,13000,217.4658589
500,125,2.7,125,7.24,125,8.16,-1,6000,83.65973117
228.57,800,3.72,400,23.16,800,25.68,0.25,24000,1969.257781
700,350,2.55,525,9.12,700,12.16,-0.75,16800,1852.99273
